practice_id,objective_id,practice_name,practice_description,,
"""BAI02.04""",BAI02,"""Obtain approval of requirements and solutions.""","""Coordinate feedback from affected stakeholders. At predetermined key stages, obtain approval and sign-off from the business sponsor or product owner regarding functional and technical requirements, feasibility studies, risk analyses and recommended solutions.""",,"""""BAI02.04"""""
"""BAI03.01""",BAI03,"""Design high-level solutions.""","""Develop and document high-level designs for the solution in terms of technology, business processes and workflows. Use agreed and appropriate phased or rapid Agile development techniques. Ensure alignment with the I&T strategy and enterprise architecture. Reassess and update the designs when significant issues occur during detailed design or building phases, or as the solution evolves. Apply a user-centric approach; ensure that stakeholders actively participate in the design and approve each version.""",,"""""BAI03.01"""""
"""BAI03.02""",BAI03,"""Design detailed solution components.""","""Develop, document and elaborate detailed designs progressively. Use agreed and appropriate phased or rapid Agile development techniques, addressing all components (business processes and related automated and manual controls, supporting I&T applications, infrastructure services and technology products, and partners/suppliers). Ensure that the detailed design includes internal and external service level agreements (SLAs) and operational level agreements (OLAs).""",,"""""BAI03.02"""""
"""BAI03.03""",BAI03,"""Develop solution components.""","""Develop solution components progressively in a separate environment, in accordance with detailed designs following standards and requirements for development and documentation, quality assurance (QA), and approval. Ensure that all control requirements in the business processes, supporting I&T applications and infrastructure services, services and technology products, and partner/vendor services are addressed.""",,"""""BAI03.03"""""
"""BAI03.04""",BAI03,"""Procure solution components.""","""Procure solution components, based on the acquisition plan, in accordance with requirements and detailed designs, architecture principles and standards, and the enterprise's overall procurement and contract procedures, QA requirements, and approval standards. Ensure that all legal and contractual requirements are identified and addressed by the vendor.""",,"""""BAI03.04"""""
"""BAI03.05""",BAI03,"""Build solutions.""","""Install and configure solutions and integrate with business process activities. During configuration and integration of hardware and infrastructure software, implement control, security, privacy and auditability measures to protect resources and ensure availability and data integrity. Update the product or services catalogue to reflect the new solutions.""",,"""""BAI03.05"""""
"""BAI03.06""",BAI03,"""Perform quality assurance (QA).""","""Develop, resource and execute a QA plan aligned with the QMS to obtain the quality specified in the requirements definition and in the enterprise’s quality policies and procedures.""",,"""""BAI03.06"""""
"""BAI03.07""",BAI03,"""Prepare for solution testing.""","""Establish a test plan and required environments to test the individual and integrated solution components. Include the business processes and supporting services, applications and infrastructure.""",,"""""BAI03.07"""""
"""BAI03.08""",BAI03,"""Execute solution testing.""","""During development, execute testing continually (including control testing), in accordance with the defined test plan and development practices in the appropriate environment. Engage business process owners and end users in the test team. Identify, log and prioritize errors and issues identified during testing.""",,"""""BAI03.08"""""
"""BAI03.09""",BAI03,"""Manage changes to requirements.""","""Track the status of individual requirements (including all rejected requirements) throughout the project life cycle. Manage the approval of changes to requirements.""",,"""""BAI03.09"""""
"""BAI03.10""",BAI03,"""Maintain solutions.""","""Develop and execute a plan for the maintenance of solution and infrastructure components. Include periodic reviews against business needs and operational requirements.""",,"""""BAI03.10"""""
"""BAI03.11""",BAI03,"""Define IT products and services and maintain the service portfolio.""","""Define and agree on new or changed IT products or services and service level options. Document new or changed product and service definitions and service level options to be updated in the products and services portfolio.""",,"""""BAI03.11"""""
"""BAI03.12""",BAI03,"""Design solutions based on the defined development methodology.""","""Design, develop and implement solutions with the appropriate development methodology (i.e., waterfall, Agile or bimodal I&T), in accordance with the overall strategy and requirements.""",,"""""BAI03.12"""""
"""BAI04.01""",BAI04,"""Assess current availability, performance and capacity and create a baseline.""","""Assess availability, performance and capacity of services and resources to ensure that cost-justifiable capacity and performance are available to support business needs and deliver against service level agreements (SLAs). Create availability, performance and capacity baselines for future comparison.""",,"""""BAI04.01"""""
"""BAI04.02""",BAI04,"""Assess business impact.""","""Identify important services to the enterprise. Map services and resources to business processes and identify business dependencies. Ensure that the impact of unavailable resources is fully agreed on and accepted by the customer. For vital business functions, ensure that availability requirements can be satisfied per service level agreement (SLA).""",,"""""BAI04.02"""""
"""BAI04.03""",BAI04,"""Plan for new or changed service requirements.""","""Plan and prioritize availability, performance and capacity implications of changing business needs and service requirements.""",,"""""BAI04.03"""""
"""BAI04.04""",BAI04,"""Monitor and review availability and capacity.""","""Monitor, measure, analyze, report and review availability, performance and capacity. Identify deviations from established baselines. Review trend analysis reports identifying any significant issues and variances. Initiate actions where necessary and ensure that all outstanding issues are addressed.""",,"""""BAI04.04"""""
"""BAI04.05""",BAI04,"""Investigate and address availability, performance and capacity issues.""","""Address deviations by investigating and resolving identified availability, performance and capacity issues.""",,"""""BAI04.05"""""
"""BAI05.01""",BAI05,"""Establish the desire to change.""","""Understand the scope and impact of the desired change. Assess stakeholder readiness and willingness to change. Identify actions that will motivate stakeholder acceptance and participation to make the change work successfully.""",,"""""BAI05.01"""""
"""BAI05.02""",BAI05,"""Form an effective implementation team.""","""Establish an effective implementation team by assembling appropriate members, creating trust, and establishing common goals and effectiveness measures.""",,"""""BAI05.02"""""
"""BAI05.03""",BAI05,"""Communicate desired vision.""","""Communicate the desired vision for the change in the language of those affected by it. The communication should be made by senior management and include the rationale for, and benefits of, the change; the impacts of not making the change; and the vision, the road map and the involvement required of the various stakeholders.""",,"""""BAI05.03"""""
"""BAI05.04""",BAI05,"""Empower role players and identify short-term wins.""","""Empower those with implementation roles by assigning accountability. Provide training and align organizational structures and HR processes. Identify and communicate short-term wins that are important from a change-enablement perspective.""",,"""""BAI05.04"""""
"""BAI05.05""",BAI05,"""Enable operation and use.""","""Plan and implement all technical, operational and usage aspects so all those who are involved in the future state environment can exercise their responsibility.""",,"""""BAI05.05"""""
"""BAI05.06""",BAI05,"""Embed new approaches.""","""Embed new approaches by tracking implemented changes, assessing the effectiveness of the operation and use plan, and sustaining ongoing awareness through regular communication. Take corrective measures as appropriate (which may include enforcing compliance).""",,"""""BAI05.06"""""
"""BAI05.07""",BAI05,"""Sustain changes.""","""Sustain changes through effective training of new staff, ongoing communication campaigns, continued commitment of top management, monitoring of adoption and sharing of lessons learned across the enterprise.""",,"""""BAI05.07"""""
"""BAI06.01""",BAI06,"""Evaluate, prioritize and authorize change requests.""","""Evaluate all requests for change to determine the impact on business processes and I&T services, and to assess whether change will adversely affect the operational environment and introduce unacceptable risk. Ensure that changes are logged, prioritized, categorized, assessed, authorized, planned and scheduled.""",,"""""BAI06.01"""""
"""BAI06.02""",BAI06,"""Manage emergency changes.""","""Carefully manage emergency changes to minimize further incidents. Ensure the emergency change is controlled and takes place securely. Verify that emergency changes are appropriately assessed and authorized after the change.""",,"""""BAI06.02"""""
"""BAI06.03""",BAI06,"""Track and report change status.""","""Maintain a tracking and reporting system to document rejected changes and communicate the status of approved, in-process and complete changes. Make certain that approved changes are implemented as planned.""",,"""""BAI06.03"""""
"""BAI06.04""",BAI06,"""Close and document the changes.""","""Whenever changes are implemented, update the solution, user documentation and procedures affected by the change.""",,"""""BAI06.04"""""
"""BAI07.01""",BAI07,"""Establish an implementation plan.""","""Establish an implementation plan that covers system and data conversion, acceptance testing criteria, communication, training, release preparation, promotion to production, early production support, a fallback/back-up plan, and a post-implementation review. Obtain approval from relevant parties.""",,"""""BAI07.01"""""
"""BAI07.02""",BAI07,"""Plan business process, system and data conversion.""","""Prepare for business process, I&T service data and infrastructure migration as part of the enterprise’s development methods. Include audit trails and a recovery plan should the migration fail.""",,"""""BAI07.02"""""
"""BAI07.03""",BAI07,"""Plan acceptance tests.""","""Establish a test plan based on enterprisewide standards that define roles, responsibilities, and entry and exit criteria. Ensure that the plan is approved by relevant parties.""",,"""""BAI07.03"""""
"""BAI07.04""",BAI07,"""Establish a test environment.""","""Define and establish a secure test environment representative of the planned business process and IT operations environment in terms of performance, capacity, security, internal controls, operational practices, data quality, privacy requirements and workloads.""",,"""""BAI07.04"""""
"""BAI07.05""",BAI07,"""Perform acceptance tests.""","""Test changes independently, in accordance with the defined test plan, prior to migration to the live operational environment.""",,"""""BAI07.05"""""
"""BAI07.06""",BAI07,"""Promote to production and manage releases.""","""Promote the accepted solution to the business and operations. Where appropriate, run the solution as a pilot implementation or in parallel with the old solution for a defined period and compare behavior and results. If significant problems occur, revert to the original environment based on the fallback/back-up plan. Manage releases of solution components.""",,"""""BAI07.06"""""
"""BAI07.07""",BAI07,"""Provide early production support.""","""For an agreed period of time, provide early support to users and I&T operations to resolve issues and help stabilize the new solution.""",,"""""BAI07.07"""""
"""BAI07.08""",BAI07,"""Perform a post-implementation review.""","""Conduct a post-implementation review to confirm outcome and results, identify lessons learned, and develop an action plan. Evaluate actual performance and outcomes of the new or changed service against expected performance and outcomes anticipated by the user or customer.""",,"""""BAI07.08"""""
"""BAI08.01""",BAI08,"""Identify and classify sources of information for governance and management of I&T.""","""Identify, validate and classify diverse sources of internal and external information required to enable governance and management of I&T, including strategy documents, incident reports and configuration information that progresses from development to operations before going live.""",,"""""BAI08.01"""""
"""BAI08.02""",BAI08,"""Organize and contextualize information into knowledge.""","""Organize information based on classification criteria. Identify and create meaningful relationships among information elements and enable use of information. Identify owners, and leverage and implement enterprise-defined information levels of access to management information and knowledge resources.""",,"""""BAI08.02"""""
"""BAI08.03""",BAI08,"""Use and share knowledge.""","""Propagate available knowledge resources to relevant stakeholders and communicate how these resources can be used to address different needs (e.g., problem solving, learning, strategic planning and decision making).""",,"""""BAI08.03"""""
"""BAI08.04""",BAI08,"""Evaluate and update or retire information.""","""Measure the use and evaluate the currency and relevance of information. Update information or retire obsolete information.""",,"""""BAI08.04"""""
"""BAI09.01""",BAI09,"""Identify and record current assets.""","""Maintain an up-to-date, accurate record of all I&T assets that are required to deliver services and that are owned or controlled by the organization with an expectation of future benefit (including resources with economic value, such as hardware or software). Ensure alignment with configuration management and financial management.""",,"""""BAI09.01"""""
"""BAI09.02""",BAI09,"""Manage critical assets.""","""Identify assets that are critical in providing service capability. Maximize their reliability and availability to support business needs.""",,"""""BAI09.02"""""
"""BAI09.03""",BAI09,"""Manage the asset life cycle.""","""Manage assets from procurement to disposal. Ensure that assets are utilized as effectively and efficiently as possible and are accounted for and physically protected until appropriately retired.""",,"""""BAI09.03"""""
"""BAI09.04""",BAI09,"""Optimize asset value.""","""Regularly review the overall asset base to identify ways to optimize value in alignment with business needs.""",,"""""BAI09.04"""""
"""BAI09.05""",BAI09,"""Manage licenses.""","""Manage software licenses to maintain the optimal number of licenses and support business requirements. Ensure that the number of licenses owned is sufficient to cover the installed software in use.""",,"""""BAI09.05"""""
"""BAI10.01""",BAI10,"""Establish and maintain a configuration model.""","""Establish and maintain a logical model of the services, assets, infrastructure and recording of configuration items (CIs), including the relationships among them. Include the CIs considered necessary to manage services effectively and to provide a single, reliable description of the assets in a service.""",,"""""BAI10.01"""""
"""BAI10.02""",BAI10,"""Establish and maintain a configuration repository and baseline.""","""Establish and maintain a configuration management repository and create controlled configuration baselines.""",,"""""BAI10.02"""""
"""BAI10.03""",BAI10,"""Maintain and control configuration items.""","""Maintain an up-to-date repository of configuration items (CIs) by populating any configuration changes.""",,"""""BAI10.03"""""
"""BAI10.04""",BAI10,"""Produce status and configuration reports.""","""Define and produce configuration reports on status changes of configuration items.""",,"""""BAI10.04"""""
"""BAI10.05""",BAI10,"""Verify and review integrity of the configuration repository.""","""Periodically review the configuration repository and verify completeness and correctness against the desired target.""",,"""""BAI10.05"""""
"""BAI11.01""",BAI11,"""Maintain a standard approach for project management.""","""Maintain a standard approach for project management that enables governance and management review, decision-making and delivery-management activities. These activities should focus consistently on business value and goals (i.e., requirements, risk, costs, schedule and quality targets).""",,"""""BAI11.01"""""
"""BAI11.02""",BAI11,"""Start up and initiate a project.""","""Define and document the nature and scope of the project to confirm and develop a common understanding of project scope among stakeholders. The definition should be formally approved by the project sponsors.""",,"""""BAI11.02"""""
"""BAI11.03""",BAI11,"""Manage stakeholder engagement.""","""Manage stakeholder engagement to ensure an active exchange of accurate, consistent and timely information that reaches all relevant stakeholders. This includes planning, identifying and engaging stakeholders and managing their expectations.""",,"""""BAI11.03"""""
"""BAI11.04""",BAI11,"""Develop and maintain the project plan.""","""Establish and maintain a formal, approved, integrated project plan (covering business and IT resources) to guide project execution and control throughout the life of the project. The scope of projects should be clearly defined and tied to building or enhancing business capability.""",,"""""BAI11.04"""""
"""BAI11.05""",BAI11,"""Manage project quality.""","""Prepare and execute a quality management plan, processes and practices that align with quality management standards (QMS). Describe the approach to project quality and implementation. The plan should be formally reviewed and agreed on by all parties concerned and incorporated into the integrated project plans.""",,"""""BAI11.05"""""
"""BAI11.06""",BAI11,"""Manage project risk.""","""Eliminate or minimize specific risk associated with projects through a systematic process of planning, identifying, analyzing, responding to, monitoring and controlling the areas or events with potential to cause unwanted change. Define and record any risk faced by project management.""",,"""""BAI11.06"""""
"""BAI11.07""",BAI11,"""Monitor and control projects.""","""Measure project performance against key project performance criteria such as schedule, quality, cost and risk. Identify any deviations from expected targets. Assess the impact of deviations on the project and overall program and report results to key stakeholders.""",,"""""BAI11.07"""""
"""BAI11.08""",BAI11,"""Manage project resources and work packages.""","""Manage project work packages by placing formal requirements on authorizing and accepting work packages and assigning and coordinating appropriate business and IT resources.""",,"""""BAI11.08"""""
"""BAI11.09""",BAI11,"""Close a project or iteration.""","""At the end of each project, release or iteration, require the project stakeholders to ascertain whether the project, release or iteration delivered the required results in terms of capabilities and contributed as expected to program benefits. Identify and communicate any outstanding activities required to achieve planned results of the project and/or benefits of the program. Identify and document lessons learned for future projects, releases, iterations and programs.""",,"""""BAI11.09"""""
"""DSS01.01""",DSS01,"""Perform operational procedures.""","""Maintain and perform operational procedures and operational tasks reliably and consistently.""",,"""""DSS01.01"""""
"""DSS01.02""",DSS01,"""Manage outsourced I&T services.""","""Manage the operation of outsourced I&T services to maintain the protection of enterprise information and reliability of service delivery.""",,"""""DSS01.02"""""
"""DSS01.03""",DSS01,"""Monitor I&T infrastructure.""","""Monitor the I&T infrastructure and related events. Store sufficient chronological information in operations logs to reconstruct and review time sequences of operations and other activities surrounding or supporting operations.""",,"""""DSS01.03"""""
"""DSS01.04""",DSS01,"""Manage the environment.""","""Maintain measures for protection against environmental factors. Install specialized equipment and devices to monitor and control the environment.""",,"""""DSS01.04"""""
"""DSS01.05""",DSS01,"""Manage facilities.""","""Manage facilities, including power and communications equipment, in line with laws and regulations, technical and business requirements, vendor specifications, and health and safety guidelines.""",,"""""DSS01.05"""""
"""DSS02.01""",DSS02,"""Define classification schemes for incidents and service requests.""","""Define classification schemes and models for incidents and service requests.""",,"""""DSS02.01"""""
"""DSS02.02""",DSS02,"""Record, classify and prioritize requests and incidents.""","""Identify, record and classify service requests and incidents and assign a priority according to business criticality and service agreements.""",,"""""DSS02.02"""""
"""DSS02.03""",DSS02,"""Verify, approve and fulfill service requests.""","""Select the appropriate request procedures and verify that the service requests fulfill defined request criteria. Obtain approval, if required, and fulfill the requests.""",,"""""DSS02.03"""""
"""DSS02.04""",DSS02,"""Investigate, diagnose and allocate incidents.""","""Identify and record incident symptoms, determine possible causes, and allocate for resolution.""",,"""""DSS02.04"""""
"""DSS02.05""",DSS02,"""Resolve and recover from incidents.""","""Document, apply and test the identified solutions or workarounds. Perform recovery actions to restore the I&T-related service.""",,"""""DSS02.05"""""
"""DSS02.06""",DSS02,"""Close service requests and incidents.""","""Verify satisfactory incident resolution and/or fulfilment of requests, and close.""",,"""""DSS02.06"""""
"""DSS02.07""",DSS02,"""Track status and produce reports.""","""Regularly track, analyze and report incidents and fulfilment of requests. Examine trends to provide information for continual improvement.""",,"""""DSS02.07"""""
"""DSS03.01""",DSS03,"""Identify and classify problems.""","""Define and implement criteria and procedures to identify and report problems. Include problem classification, categorization and prioritization.""",,"""""DSS03.01"""""
"""DSS03.02""",DSS03,"""Investigate and diagnose problems.""","""Investigate and diagnose problems using relevant subject matter experts to assess and analyze root causes.""",,"""""DSS03.02"""""
"""DSS03.03""",DSS03,"""Raise known errors.""","""As soon as root causes of problems are identified, create known-error records, document appropriate workarounds and identify potential solutions.""",,"""""DSS03.03"""""
"""DSS03.04""",DSS03,"""Resolve and close problems.""","""Identify and initiate sustainable solutions addressing the root cause. Raise change requests via the established change management process, if required, to resolve errors. Ensure that the personnel affected are aware of the actions taken and the plans developed to prevent future incidents from occurring.""",,"""""DSS03.04"""""
"""DSS03.05""",DSS03,"""Perform proactive problem management.""","""Collect and analyze operational data (especially incident and change records) to identify emerging trends that may indicate problems. Log problem records to enable assessment.""",,"""""DSS03.05"""""
"""DSS04.01""",DSS04,"""Define the business continuity policy, objectives and scope.""","""Define business continuity policy and scope, aligned with enterprise and stakeholder objectives, to improve business resilience.""",,"""""DSS04.01"""""
"""DSS04.02""",DSS04,"""Maintain business resilience.""","""Evaluate business resilience options and choose a cost-effective and viable strategy that will ensure enterprise continuity, disaster recovery and incident response in the face of a disaster or other major incident or disruption.""",,"""""DSS04.02"""""
"""DSS04.03""",DSS04,"""Develop and implement a business continuity response.""","""Develop a business continuity plan (BCP) and disaster recovery plan (DRP) based on the strategy. Document all procedures necessary for the enterprise to continue critical activities in the event of an incident.""",,"""""DSS04.03"""""
"""DSS04.04""",DSS04,"""Exercise, test and review the business continuity plan (BCP) and disaster response plan (DRP).""","""Test continuity on a regular basis to exercise plans against predetermined outcomes, uphold business resilience and allow innovative solutions to be developed.""",,"""""DSS04.04"""""
"""DSS04.05""",DSS04,"""Review, maintain and improve the continuity plans.""","""Conduct a management review of the continuity capability at regular intervals to ensure its continued suitability, adequacy and effectiveness. Manage changes to the plans in accordance with the change control process to ensure that continuity plans are kept up to date and continually reflect actual business requirements.""",,"""""DSS04.05"""""
"""DSS04.06""",DSS04,"""Conduct continuity plan training.""","""Provide all concerned internal and external parties with regular training sessions regarding procedures and their roles and responsibilities in case of disruption.""",,"""""DSS04.06"""""
"""DSS04.07""",DSS04,"""Manage backup arrangements.""","""Maintain availability of business-critical information.""",,"""""DSS04.07"""""
"""DSS04.08""",DSS04,"""Conduct post-resumption review.""","""Assess the adequacy of the business continuity plan (BCP) and disaster response plan (DRP) following successful resumption of business processes and services after a disruption.""",,"""""DSS04.08"""""
"""DSS05.01""",DSS05,"""Protect against malicious software.""","""Implement and maintain preventive, detective and corrective measures (especially up-to-date security patches and virus control) across the enterprise to protect information systems and technology from malicious software (e.g., malware, ransomware, viruses, worms, spyware, spam).""",,"""""DSS05.01"""""
"""DSS05.02""",DSS05,"""Manage network and connectivity security.""","""Use security measures and related management procedures to protect information over all methods of connectivity.""",,"""""DSS05.02"""""
"""DSS05.03""",DSS05,"""Manage endpoint security.""","""Ensure that endpoints (e.g., laptop, desktop, server, and other mobile and network devices or software) are secured at a level that is equal to or greater than the defined security and privacy requirements for the information processed, stored or transmitted.""",,"""""DSS05.03"""""
"""DSS05.04""",DSS05,"""Manage user identity and logical access.""","""Ensure that all users have information access rights in accordance with the business unit's privacy policy and business requirements. Coordinate with business units that manage their own access rights within business processes.""",,"""""DSS05.04"""""
"""DSS05.05""",DSS05,"""Manage physical access to I&T assets.""","""Define and implement procedures (including emergency procedures) to grant, limit and revoke access to premises, buildings and areas, according to business need. Access to premises, buildings and areas should be justified, authorized, logged and monitored. This requirement applies to all persons entering the premises, including staff, temporary staff, clients, vendors, visitors or any other third party.""",,"""""DSS05.05"""""
"""DSS05.06""",DSS05,"""Manage sensitive documents and output devices.""","""Establish appropriate physical safeguards, accounting practices and inventory management regarding sensitive I&T assets, such as special forms, negotiable instruments, special-purpose printers or security tokens.""",,"""""DSS05.06"""""
"""DSS05.07""",DSS05,"""Manage vulnerabilities and monitor the infrastructure for security-related events.""","""Using a portfolio of tools and technologies (e.g., intrusion detection tools), manage vulnerabilities and monitor the infrastructure for unauthorized access. Ensure that security tools, technologies and detection are integrated with general event monitoring and incident management.""",,"""""DSS05.07"""""
"""DSS06.01""",DSS06,"""Align control activities embedded in business processes with enterprise objectives.""","""Continually assess and monitor the execution of business process activities and related controls (based on enterprise risk), to ensure that processing controls align with business needs.""",,"""""DSS06.01"""""
"""DSS06.02""",DSS06,"""Control the processing of information.""","""Operate the execution of the business process activities and related controls, based on enterprise risk. Ensure that information processing is valid, complete, accurate, timely and secure (i.e., reflects legitimate and authorized business use).""",,"""""DSS06.02"""""
"""DSS06.03""",DSS06,"""Manage roles, responsibilities, access privileges and levels of authority.""","""Manage business roles, responsibilities, levels of authority and segregation of duties needed to support the business process objectives. Authorize access to all information assets related to business information processes, including those under the custody of the business, IT and third parties. This ensures that the business knows where the data are and who is handling data on its behalf.""",,"""""DSS06.03"""""
"""DSS06.04""",DSS06,"""Manage errors and exceptions.""","""Manage business process exceptions and errors and facilitate remediation, executing defined corrective actions and escalating as necessary. This treatment of exceptions and errors provides assurance of the accuracy and integrity of the business information process.""",,"""""DSS06.04"""""
"""DSS06.05""",DSS06,"""Ensure traceability and accountability for information events.""","""Ensure that business information can be traced to an originating business event and associated with accountable parties. This discoverability provides assurance that business information is reliable and has been processed in accordance with defined objectives.""",,"""""DSS06.05"""""
"""DSS06.06""",DSS06,"""Secure information assets.""","""Secure information assets accessible by the business through approved methods, including information in electronic form (e.g., portable media devices, user applications and storage devices, or other methods that create new assets in any form), information in physical form (e.g., source documents or output reports) and information during transit. This benefits the business by providing end-to-end safeguarding of information.""",,"""""DSS06.06"""""
"""MEA01.01""",MEA01,"""Establish a monitoring approach.""","""Engage with stakeholders to establish and maintain a monitoring approach to define the objectives, scope and method for measuring business solution and service delivery and contribution to enterprise objectives. Integrate this approach with the corporate performance management system.""",,"""""MEA01.01"""""
"""MEA01.02""",MEA01,"""Set performance and conformance targets.""","""Work with stakeholders to define, periodically review, update and approve performance and conformance targets within the performance measurement system.""",,"""""MEA01.02"""""
"""MEA01.03""",MEA01,"""Collect and process performance and conformance data.""","""Collect and process timely and accurate data aligned with enterprise approaches.""",,"""""MEA01.03"""""
"""MEA01.04""",MEA01,"""Analyze and report performance.""","""Periodically review and report performance against targets. Use a method that provides a succinct all-around view of I&T performance and fits within the enterprise monitoring system.""",,"""""MEA01.04"""""
"""MEA01.05""",MEA01,"""Ensure the implementation of corrective actions.""","""Assist stakeholders in identifying, initiating and tracking corrective actions to address anomalies.""",,"""""MEA01.05"""""
"""MEA02.01""",MEA02,"""Monitor internal controls.""","""Continuously monitor, benchmark and improve the I&T control environment and control framework to meet organizational objectives.""",,"""""MEA02.01"""""
"""MEA02.02""",MEA02,"""Review effectiveness of business process controls.""","""Review the operation of controls, including monitoring and test evidence, to ensure that controls within business processes operate effectively. Include activities to maintain evidence of the effective operation of controls through mechanisms such as periodic testing, continuous monitoring, independent assessments, command and control centers, and network operation centers. This evidence assures the enterprise that controls meet requirements related to business, regulatory and social responsibilities.""",,"""""MEA02.02"""""
"""MEA02.03""",MEA02,"""Perform control self-assessments.""","""Encourage management and process owners to improve controls proactively through a continuing program of self-assessment that evaluates the completeness and effectiveness of management’s control over processes, policies and contracts.""",,"""""MEA02.03"""""
"""MEA02.04""",MEA02,"""Identify and report control deficiencies.""","""Identify control deficiencies and analyze and identify their underlying root causes. Escalate control deficiencies and report to stakeholders.""",,"""""MEA02.04"""""
"""MEA03.01""",MEA03,"""Identify external compliance requirements.""","""On a continuous basis, monitor changes in local and international laws, regulations and other external requirements and identify mandates for compliance from an I&T perspective.""",,"""""MEA03.01"""""
"""MEA03.02""",MEA03,"""Optimize response to external requirements.""","""Review and adjust policies, principles, standards, procedures and methodologies to ensure that legal, regulatory and contractual requirements are addressed and communicated. Consider adopting and adapting industry standards, codes of good practice, and good practice guidance.""",,"""""MEA03.02"""""
"""MEA03.03""",MEA03,"""Confirm external compliance.""","""Confirm compliance of policies, principles, standards, procedures and methodologies with legal, regulatory and contractual requirements.""",,"""""MEA03.03"""""
"""MEA03.04""",MEA03,"""Obtain assurance of external compliance.""","""Obtain and report assurance of compliance and adherence with policies, principles, standards, procedures and methodologies. Confirm that corrective actions to address compliance gaps are closed in a timely manner.""",,"""""MEA03.04"""""
"""MEA04.01""",MEA04,"""Ensure that assurance providers are independent and qualified.""","""Ensure that the entities performing assurance are independent from the function, groups or organizations in scope. The entities performing assurance should demonstrate an appropriate attitude and appearance, competence in the skills and knowledge necessary to perform assurance, and adherence to codes of ethics and professional standards.""",,"""""MEA04.01"""""
"""MEA04.02""",MEA04,"""Develop risk-based planning of assurance initiatives.""","""Determine assurance objectives based on assessments of the internal and external environment and context, the risk of not achieving enterprise goals, and the opportunities associated achievement of the same goals.""",,"""""MEA04.02"""""
"""MEA04.03""",MEA04,"""Determine the objectives of the assurance initiative.""","""Define and agree with all stakeholders on the objectives of the assurance initiative.""",,"""""MEA04.03"""""
"""MEA04.04""",MEA04,"""Define the scope of the assurance initiative.""","""Define and agree with all stakeholders on the scope of the assurance initiative, based on the assurance objectives.""",,"""""MEA04.04"""""
"""MEA04.05""",MEA04,"""Define the work program for the assurance initiative.""","""Define a detailed work program for the assurance initiative, structured according to the management objectives and governance components in scope.""",,"""""MEA04.05"""""
"""MEA04.06""",MEA04,"""Execute the assurance initiative, focusing on design effectiveness.""","""Execute the planned assurance initiative. Validate and confirm the design of the internal controls in place. Additionally, and specifically in internal audit assignments, consider the cost-effectiveness of the governance component design.""",,"""""MEA04.06"""""
"""MEA04.07""",MEA04,"""Execute the assurance initiative, focusing on operating effectiveness.""","""Execute the planned assurance initiative. Test whether the internal controls in place are appropriate and sufficient. Test the outcome of the key management objectives in scope of the assurance initiative.""",,"""""MEA04.07"""""
"""MEA04.08""",MEA04,"""Report and follow up on the assurance initiative.""","""Provide positive assurance opinions, where appropriate, and recommendations for improvement relating to identified operational performance, external compliance and internal control weaknesses.""",,"""""MEA04.08"""""
"""MEA04.09""",MEA04,"""Follow up on recommendations and actions.""","""Agree on, follow up and implement the identified recommendations for improvement. """,,"""""MEA04.09"""""